sku_id,Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
980,Munchies,Tong Garden Wasabi Coated Greenpeas Tin,20000,11,6,17800,180,FALSE,180
981,Munchies,Flying Bird Pineapple Artifical Food Essence,5000,2,6,4900,20,FALSE,20
982,Munchies,Mother's Recipe Tamarind Paste,5000,2,2,4900,200,FALSE,200
983,Munchies,Japanese Choice Udon Noodles,29500,9,6,26600,250,FALSE,250
984,Munchies,Pantai Coconut Milk,15000,0,4,15000,400,FALSE,400
985,Munchies,Praakritik Organic Masoor Dal,13000,10,6,11600,500,FALSE,500
986,Munchies,Popular Essentials Classic Sona Masuri Rice,43000,10,6,38700,5000,FALSE,5
987,Munchies,Popular Essentials Salted Murmure ,7000,18,6,5700,400,FALSE,400
988,Munchies,Oleev Active Oil (Pouch),26500,9,6,23900,1000,FALSE,1
989,Munchies,Delight Nuts Dried Blueberries ,54000,20,6,43200,150,FALSE,150
990,Munchies,Popular Essentials Double Beans White,6000,10,6,5400,250,FALSE,250
991,Munchies,Delight Nuts Almond Natural ,34900,20,6,27900,200,FALSE,200
992,Munchies,Praakritik Organic Jaggery,16000,6,6,15000,900,FALSE,900
993,Munchies,Praakritik Organic Raw Sugar,9000,6,6,8400,500,FALSE,500
994,Munchies,MTR Masala - Sambar Powder,11500,0,4,11500,200,FALSE,200
995,Munchies,RRO Til Dil Premium Til Oil Bottle,17300,6,6,16200,500,FALSE,500
996,Munchies,ITC Master Chef Vegetable Biryani Cooking Paste,7500,30,5,5200,80,FALSE,80
997,Munchies,Jivana Jaggery,10000,0,2,10000,950,FALSE,950
998,Munchies,Praakritik Organic Besan,17000,6,6,15900,500,FALSE,500
999,Munchies,MTR Instant Gulab Jamun Mix,19500,9,6,17600,500,FALSE,500
1000,Munchies,Maggi Magic Cubes Extra Chicken,19900,0,2,19900,240,FALSE,240
1001,Munchies,On1y Mixed Herbs,9900,0,6,9900,14,FALSE,14
1002,Munchies,Popular Essentials Urad Gola Black (Un-Polished),8000,10,6,7200,500,FALSE,500
1003,Munchies,Gits Dessert Mix China Grass Bombay Halwa,5500,0,4,5500,80,FALSE,80
1004,Munchies,Praakritik Organic Basmati Rice,17000,0,5,17000,500,FALSE,500
1005,Munchies,Ceres Foods Nalli Nihari Instant Liquid Masala,22000,50,6,11000,200,FALSE,200
1006,Munchies,Borges Canola Oil Pet Bottle,39900,0,6,39900,1000,FALSE,1
1007,Munchies,Suhana Biryani Masala,6600,0,6,6600,50,FALSE,50
1008,Munchies,On1y Black Salt Grinder,9900,0,6,9900,100,FALSE,100
1009,Munchies,Popular Essentials Nylon Til,4000,2,6,3900,100,FALSE,100
1010,Munchies,Pillsbury Rich Choco Oven Cake Mix - Egg Free,17000,6,6,15900,270,FALSE,270
1011,Munchies,Weikfield Tomato Salsa Instant Pasta,2500,0,1,2500,77,FALSE,77
1012,Munchies,Praakritik Organic Jowar Atta,11000,6,6,10300,500,FALSE,500
1013,Munchies,Sugarfree Gold Low Calorie Sweetner ,27000,7,6,25100,50,FALSE,50
1014,Munchies,Epicurea Thai Jasmine Rice,29500,0,4,29500,500,FALSE,500
1015,Munchies,Yummiez Chicken Garlic Fingers Pouch,25000,0,5,25000,400,FALSE,400
1016,Munchies,RRO Primio Refined Groundnut (Jar),49000,11,6,43600,2000,FALSE,2
1017,Munchies,Praakritik Organic Tuvar Dal,14000,0,6,14000,500,FALSE,500
1018,Munchies,Sugarfree Gold Low Calorie Sweetner,18500,5,3,17500,300,FALSE,300
1019,Munchies,Cantina Beans Mexican Beans,25000,14,6,21300,410,FALSE,410
1020,Munchies,Pillsbury Oven Cake Mix - Vanilla,17500,10,6,15600,225,FALSE,225
1021,Munchies,Hershey's Chocolate Milk Booster,20000,0,6,20000,450,FALSE,450
1022,Munchies,Popular Essentials Byadagi Chilli Stemless,8000,0,6,8000,100,FALSE,100
1023,Munchies,Suhana Spice Mix - Chicken Biryani,6600,0,6,6600,50,FALSE,50
1024,Munchies,Praakritik Organic Yellow Moon Dal,13500,0,6,13500,500,FALSE,500
1025,Munchies,Maggi Magic Cubes Extra Chicken,19900,10,6,17900,240,FALSE,240
1026,Munchies,Dhara Filtered Groundnut Oil (Jar),105000,0,2,105000,5000,FALSE,5
1027,Munchies,24 Mantra Sona Masuri Brown Rice,47500,10,6,42300,5000,FALSE,5
1028,Munchies,24 Mantra Organic Pancharatna Dal - Split,13000,7,6,12000,500,FALSE,500
1029,Munchies,24 Mantra Organic Cumin Powder,7000,0,6,7000,100,FALSE,100
1030,Munchies,Popular Essentials Samba Broken Wheat,10000,11,6,8900,500,FALSE,500
1031,Munchies,Betty Crocker Chocolate Fudge Cake Mix,29500,0,6,29500,475,FALSE,475
1032,Munchies,Borges Extra Light Olive Oil Bottle ,260000,46,6,139900,2000,FALSE,2
1033,Munchies,Flying Bird Premium Orange Artificial Food Essence,6000,0,6,6000,20,FALSE,20
1034,Munchies,Popular Essentials Red Cherry/Gundu Chilli,9500,0,6,9500,100,FALSE,100
1035,Munchies,Super Saver Kolam Rice Sortex Clean ,70000,10,3,63000,5000,FALSE,5
1036,Munchies,Flying Bird Food Essence - Kewra,5000,0,6,5000,20,FALSE,20
1037,Munchies,MTR Vada Breakfast,20000,0,1,20000,500,FALSE,500
1038,Munchies,On1y Pasta Seasoning,9900,0,6,9900,30,FALSE,30
1039,Munchies,Praakritik Organic Indrayani Rice,7000,0,6,7000,500,FALSE,500
1040,Munchies,On1y Pizza Seasoning,9900,0,6,9900,28,FALSE,28
